heading,content,start,end,tokens,title
0, The following is a conversation with Elon Musk his third time on this the Lex Friedman podcast,0.0,6.0,20,Elon
1," Yeah, make yourself comfortable. Oh wow, okay",6.96,10.16,12,Elon
2," Did you don't do the headphone thing? No, okay. I mean hot clothes so I get me to get the same clothes",11.040000000000001,15.92,28,Elon
3," The clothes you are the sexiest son. Hey babe. Yeah, yeah, I get enough of the oil. Oh, baby",15.92,20.72,28,Elon
4, I'm gonna clip that out,22.88,24.88,8,Elon
5, Anytime somebody messes with me about you,25.119999999999997,27.119999999999997,10,Elon
6, You watch the party and you think I'm sexy come right out and tell me so,27.119999999999997,31.919999999999998,19,Elon
7, So good okay serious mode activate all right,38.8,42.08,10,Elon
8," The serious mode come on your Russian you can be serious. Yeah, everyone's serious. All the time in Russia. Yeah",43.28,47.92,27,Elon
9," Yeah, we'll get we'll get there. We'll get there",48.56,51.2,16,Elon
10," Yeah, it's gotten soft",52.32,54.32,8,Elon
11, Allow me to say that the space X launch of human beings to orbit on May 30th 2020,55.28,60.800000000000004,21,Elon
12, Was seen by many as the first step in a new era of human space exploration,62.080000000000005,66.48,18,Elon
13, These human spaceflight missions were a beacon of hope to me and to millions over the past two years,67.44,72.64,22,Elon
14, Is our world has been going through one of the most difficult periods in recent human history,72.64,77.12,19,Elon
15, We saw we see the rise of division fear cynicism and the loss of common humanity,78.08,83.92,19,Elon
16, Right when it is needed most so first,84.64,87.2,10,Elon
17," Elon, let me say thank you for giving the world hope and reason to be excited about the future. Oh, it's kind of you to say",87.76,93.36,32,Elon
18, I do want to do that humanity has,94.16,96.16,10,Elon
19, obviously a lot of issues and and,97.2,99.2,9,Elon
20," You know people at times do do bad things, but you know despite all that",100.08,105.04,18,Elon
21," You know, I love humanity and I think we should",106.0,108.4,13,Elon
22, Uh,109.12,111.12,3,Elon
23, Make sure we do everything we can to have a good future and an exciting future and one where that maximizes the happiness of the people,111.12,117.36000000000001,29,Elon
24, Let me ask about the coup dragon demo 2 so that that first flight with humans on board,118.32000000000001,123.28,20,Elon
25, How did you feel leading up to that launch? We scared. Are you excited? I was going through your mind so much was it stake,124.4,131.12,30,Elon
26," Yeah, no, that was extremely stressful no question. Um, we obviously could not",132.08,138.08,19,Elon
27," Um, let them down in any way um, so",139.04,142.0,13,Elon
28, Extremely stressful I'd say uh to say at least,144.0,146.88,13,Elon
29, But we did I was confident that at the time that we launched that,147.68,151.12,16,Elon
30, No one could think of anything,152.08,154.08,8,Elon
