heading,content,start,end,tokens,title
0, The Joe Rogan Experience,0.0,6.0,7,Mike_Tyson
1, Train my day Joe Rogan podcast my night all day,6.0,10.0,13,Mike_Tyson
2, So friend giant boxing fan he sends me this text message he goes dude check this shit out and it's you training with,12.0,20.400000000000002,26,Mike_Tyson
3, Half-El Cordero and I remember looking at it and going oh shit what happened,20.400000000000002,25.76,19,Mike_Tyson
4, What happened because the last time you were in here you were talking about how you didn't want to work out,26.240000000000002,30.64,24,Mike_Tyson
5," Yeah, cuz it would ignite the ego",30.8,33.28,10,Mike_Tyson
6," Hey, let's talk about that too",33.92,35.92,10,Mike_Tyson
7, So um,36.24,37.92,4,Mike_Tyson
8, I was discussing my wife something about me being overweight you know me have to get some time for like a plan in your wife,37.92,44.0,27,Mike_Tyson
9, Will you wouldn't pick her around some kind of perspective and she said well wanted you to get on this,44.0,49.2,23,Mike_Tyson
10, Trident for 15 minutes a day. I thought she said just 15 minutes or it went from 15 minutes a day to two hours a day,49.84,56.480000000000004,30,Mike_Tyson
11, And um,57.36,59.36,4,Mike_Tyson
12, That's what you were worried about yeah exactly um,59.68000000000001,62.88,12,Mike_Tyson
13, I was complaining about my weight and so um I,63.68000000000001,66.88,12,Mike_Tyson
14, I don't know I guess I tried on some clothing. It was disastrous,68.16,71.44,17,Mike_Tyson
15, And so I was worried about my weight and she told me the 15 minute round to win two hours a day and um,71.92,78.48,26,Mike_Tyson
16, I just started losing weight and then um somebody came on personal and said hey Mike,79.44,83.76,18,Mike_Tyson
17, I know you're not gonna want but somebody said would you fight this guy for like 40 million 30 million but I said man,83.76,89.36,27,Mike_Tyson
18, Get the fuck out of my world. I said hold this is a thing,89.36,92.16,17,Mike_Tyson
19, I said whoa,93.76,95.76,5,Mike_Tyson
20, I said well who would they like me to fight and said one minute and then it's Bob's hat,95.76,100.96000000000001,23,Mike_Tyson
21," But okay, and so I'm saying to myself well, I know Bob",101.04,104.24000000000001,17,Mike_Tyson
22, I said no,105.11999999999999,106.39999999999999,5,Mike_Tyson
23, Because I know Bob is digging strong. I said hold one minute,106.39999999999999,109.36,15,Mike_Tyson
24, How would they like me to fight him kind of fight him in the market for Queen Mary rule and he said one minute Mike,110.64,115.44,27,Mike_Tyson
25," He asked the guy the guy said yes, I said I fight him right and so this Bob Sap was the first one that was brought up",115.75999999999999,121.84,30,Mike_Tyson
26," Yeah, and so once and for people don't know Bob Sap Bob Sap was a giant fighter and pride at one time",122.08,127.67999999999999,26,Mike_Tyson
27, He was like three hundred seventy five pounds and fighting all the kickboxers solid muscle and abs,127.67999999999999,132.8,21,Mike_Tyson
28," Yes, incredible right and um it went from him to somebody else and another guy in the man",133.12,138.16000000000003,21,Mike_Tyson
29, The niska and then somehow know some other fighters vandered and went from,138.16000000000003,142.48000000000002,19,Mike_Tyson
30, Who else was another heavyweight champ?,143.76000000000002,145.52,10,Mike_Tyson
31, We just a bunch of guys up here ain't fight and they say you know,145.52,148.64000000000001,18,Mike_Tyson
32," It came down the road. I had to do and I'm like, I don't know what the hell is going on",149.44,153.60000000000002,27,Mike_Tyson
33," And then he signed the contract I signed the contract next thing. No, I'm in the gym again",153.60000000000002,158.72000000000003,23,Mike_Tyson
34, And this disaster is I'm trying to get in the shape. I'm saying it my,159.04000000000002,162.4,20,Mike_Tyson
35, Really do this shit,162.8,164.8,6,Mike_Tyson
36, You know you you would probably know because if you,166.0,169.20000000000002,12,Mike_Tyson
37, Getting in shape and getting conditioned the two different animals. They don't even belate,169.92000000000002,174.24,19,Mike_Tyson
38, belong in the same,174.88000000000002,176.88000000000002,6,Mike_Tyson
39, Work out the vision of working out like it in shape is just being kind of fit. Yes,177.12,182.48000000000002,21,Mike_Tyson
40, You know getting in shape is able to fit your clothes right right? You know that's getting in shape being able,183.12,188.24,25,Mike_Tyson
41, You have to fit your clothes being in condition is being able to come outside of your soul,188.24,194.16,20,Mike_Tyson
42," Yeah, you can't do that automatically. You're talking about being in fighting conditions. Yes. Yeah. Yeah, that's a rare state",196.0,202.88,31,Mike_Tyson
43," And you can't keep it for very long. No, it is just people need to understand that right the emotional state to prepare for that is",203.04000000000002,210.0,31,Mike_Tyson
44, Oh my,210.88,212.88,4,Mike_Tyson
45," Well, that's what I was seeing when I was seeing you hit the pads",212.88,215.36,18,Mike_Tyson
46, I'm like this isn't just working out there was something going on man when you were working out with Cordero,215.44000000000003,219.76000000000002,25,Mike_Tyson
47, And you rip into the body and throw in those hooks. I was like this isn't man who's preparing to go to combat,219.76000000000002,224.72000000000003,28,Mike_Tyson
48, This is not normal getting ready to work out shit. That's why when I saw that video. I was like oh,224.8,229.52,26,Mike_Tyson
49," I'm gonna take something about that video. Yeah, I did that video and I was in bed for a week",229.52,234.32000000000002,25,Mike_Tyson
50, That was 30 seconds and I was in bed for a week,235.28000000000003,237.92000000000002,14,Mike_Tyson
51, And it's not funny because it made me realize that this is this is this is big boy shit,238.8,243.76000000000002,22,Mike_Tyson
52," Okay, this big boy shit you with that is right there. That wasn't really cool. That's in the gym. That's now the thing is though",243.84,251.2,34,Mike_Tyson
53," That's now that's that's going for you know five and six rounds. That's now, but I'm talking about before that 30 seconds",251.67999999999998,257.84,31,Mike_Tyson
54, The first time I ever did it I could um,258.08,261.12,12,Mike_Tyson
55," What's the shit you could when you can't oh, sorry, I had everything came and everything all that shit",262.4,267.12,25,Mike_Tyson
56, They came back to make me quit boxing all those pains started coming back,267.44,270.48,16,Mike_Tyson
57," So when you started training again, did you start doing it slowly after that extremely slowly and then I started um",271.12,278.16,24,Mike_Tyson
58, dabbing in an alternative stuff like what kind of stuff,278.88,281.76,13,Mike_Tyson
59, Priot therapy type shit cryo,282.88,285.36,9,Mike_Tyson
60, stem cell research and therapy and some other interesting stuff that I don't know and this is just beautiful stuff like what kind of stuff,286.8,295.84000000000003,28,Mike_Tyson
61, I don't know hyperbaric chamber than just everything everything to help you recover,296.64,303.91999999999996,18,Mike_Tyson
62, It's really interesting. It is it well. I saw you when you walked in today. I was like god damn you look good,304.71999999999997,310.15999999999997,29,Mike_Tyson
63," You look good dude, like your muscles look good. You look like your vascular you look fit and that's um",310.56,317.76,26,Mike_Tyson
64, And I'm starting to feel fit,319.52,321.52,9,Mike_Tyson
65, That's what's interesting. I know what they do and stuff like I think I'm in shape and then the next thing you know,322.08,327.59999999999997,29,Mike_Tyson
66, You think you're in shape and then you start having like um rafia start throwing punches at me,328.32,332.96,23,Mike_Tyson
67, It's like a fight and I can't punch back like I got a boy and then two rounds go by you need to whoa,333.12,337.84,28,Mike_Tyson
68, I'm not in shape. I'm in the bag six rounds. I'm doing this three five round six and I'm jumping rope,337.84,342.56,29,Mike_Tyson
69, And then I do two rounds of somebody is a whole different psychological,342.79999999999995,346.15999999999997,15,Mike_Tyson
70, Corporation and who how much how much time has gone since you first started exercising like when did it's when did it start,346.64000000000004,353.84000000000003,26,Mike_Tyson
71, So here we are with like august 23rd or something like that,355.68,358.32000000000005,16,Mike_Tyson
72, 22nd what when did when did it start?,359.52000000000004,361.76000000000005,12,Mike_Tyson
73, I had to start um,362.64000000000004,364.64000000000004,7,Mike_Tyson
74, Something like April April so want something like that in the middle of the lockdown,366.72,371.44000000000005,17,Mike_Tyson
75," Yeah, so you just just started just training",371.68,374.72,11,Mike_Tyson
76, And now here you are five months later four months later,375.20000000000005,378.48,13,Mike_Tyson
77, How far away do you think you are to being in like fighting shape? Oh,380.16,383.84000000000003,18,Mike_Tyson
78," Fighting shape one of the time come back by um november 28th. Yeah, that's when you'd be ready exactly",384.0,389.84000000000003,27,Mike_Tyson
79," Now, why did you guys decide to move you were supposed to be in September right was supposed to be",390.72,394.8,23,Mike_Tyson
80, We're the viewing um situation,394.8,397.76000000000005,8,Mike_Tyson
81," Um at the proper timing for more people for audiences. Yeah, yeah",398.64000000000004,403.28000000000003,16,Mike_Tyson
82, That nature it's so exciting,403.76,405.28,8,Mike_Tyson
83, So it's gonna be awesome because um it's gonna be um me and everyone else that's involved arrows and anyone,406.08,412.71999999999997,25,Mike_Tyson
84, Innovation then we're gonna start off the legends only league and that's gonna be really,413.84,418.47999999999996,19,Mike_Tyson
