heading,content,start,end,tokens,title
0, Hello.,0.0,5.0,4,Neil_WHO
1, Joe.,5.0,6.0,4,Neil_WHO
2," What's going on, man?",6.0,7.0,9,Neil_WHO
3, Man.,7.0,8.0,4,Neil_WHO
4, Good to see you.,8.0,9.0,7,Neil_WHO
5," Thanks, thanks.",9.0,10.0,6,Neil_WHO
6, I feel a little overdressed. Sorry about this.,10.0,11.0,13,Neil_WHO
7, You look good.,11.0,12.0,6,Neil_WHO
8," Oh, look at that.",12.0,13.0,8,Neil_WHO
9, A little bit of starry night there.,13.0,14.0,11,Neil_WHO
10," Yeah, you're really into that, huh?",14.0,16.0,12,Neil_WHO
11," Oh, yeah, I got.",16.0,17.0,9,Neil_WHO
12, I guess that's what's on your phone.,17.0,18.0,12,Neil_WHO
13," So you remembered, yeah.",18.0,19.0,8,Neil_WHO
14," Yeah, yeah, that's on the phone.",19.0,21.0,12,Neil_WHO
15, Starry night.,21.0,22.0,6,Neil_WHO
16, What do I like about starry night?,22.0,24.0,11,Neil_WHO
17, It's not what Van Gogh saw that night.,24.0,28.0,13,Neil_WHO
18, It's what he felt.,28.0,29.0,8,Neil_WHO
19, How do you know what he felt?,29.0,31.0,10,Neil_WHO
20, Because this is not a representation of reality.,31.0,34.0,11,Neil_WHO
21, Oh.,34.0,35.0,4,Neil_WHO
22, And anything that deviates from reality is reality that has filtered through your senses.,35.0,41.0,18,Neil_WHO
23, And I think art at its highest is exactly that.,41.0,45.0,13,Neil_WHO
24," If this was an exact depiction of reality, it would be a photograph and I don't need the artist.",45.0,49.0,24,Neil_WHO
25, Hmm.,49.0,50.0,4,Neil_WHO
26, Okay.,50.0,51.0,4,Neil_WHO
27," So even photographs that take you to a slightly other kind of dimension as you gaze upon them,",51.0,58.0,21,Neil_WHO
28, it's more than what was actually going on at the time.,58.0,61.0,15,Neil_WHO
29, And that's art taken to the craft of photography.,61.0,65.0,13,Neil_WHO
30, That's why you like it?,65.0,66.0,9,Neil_WHO
31, That's one of the reasons why.,66.0,67.0,10,Neil_WHO
32, Plus I think it was the very first painting where its title is the background.,67.0,77.0,18,Neil_WHO
33, Think about that.,77.0,78.0,6,Neil_WHO
34," This could have been called, you know, in the full painting, obviously this is a snippet.",78.0,83.0,23,Neil_WHO
