heading,content,start,end,tokens,title
0, Boom. So we're talking about losing eyesight. Yes. You actually take comfort in the fact that your eyesight is starting to dwindle.,0.0,9.32,31,Robert
1," You want to chase it. At first I was like, I'm fine. Then I'm 42. Then it's like, let's try some ones. Then it's one, two, five, then it's one, five.",10.16,18.12,50,Robert
2," Win it now. I stop because I have so many fucking glasses. Some of them are ones. Some of them are two, five. It's like, it's like, uh, you know what I mean? Yeah, I do know what you mean.",18.12,27.0,55,Robert
3, But what I appreciate is you know where you're at by what you're able to retain if you fight for it and the things that are going no matter what you do.,27.4,36.120000000000005,37,Robert
4," Now I've heard there's some Israeli guy who's got this app, probably from Laird, that this app and you do it and you get your eyesight back.",36.120000000000005,44.56,37,Robert
5," And sometimes it's about, I don't need to try to use something to hold on to everything. I want to pick the five or seven things that I definitely want to hold on to.",44.56,56.32,41,Robert
6, And I want to watch the rest of it go in and out with the tides.,56.68,60.88,20,Robert
7," I agree with that in some ways, but if there was a real thing where you could get your eyesight back, I would definitely be on that.",61.68,69.52,32,Robert
8," Well, I don't think there's a lot of risks. I use this. That's not real.",69.64,72.36,24,Robert
9," The problem. Well, Lasex, but I know people have problems. You can get it if you have problems with your vision, but we have macular degeneration that's coming from age, age-related, macular degeneration. Lasex doesn't really fix that.",72.64,83.92,61,Robert
10, But I know people who are wearing glasses and then got Lasex and they don't wear glasses anymore.,84.92,90.28,24,Robert
11," Yes, that's a fact. But we never wore glasses.",90.28,92.8,15,Robert
12, They get one eye to close up and one eye for distance.,92.8,96.32000000000001,15,Robert
13," It's even more fun. Half the eye on the stands I've gotten and wind up fucking me two weeks later, like these don't work.",96.32000000000001,101.92,32,Robert
14, Yeah.,101.92,102.56,4,Robert
15, What about the loss of a sense that you were accustomed to being fine?,102.56,108.88,17,Robert
16, The noise you.,108.88,109.68,6,Robert
17, What about it?,110.4,111.2,6,Robert
18, Yeah.,111.2,111.6,4,Robert
19, I like being able to see things.,111.6,113.44,10,Robert
